Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,62.49,70.25,61.78,64.00,67.20,68.06,72.18,68.26,66.94,68.97
Albania,16.28,19.76,19.01,18.15,18.98,19.13,19.77,21.70,23.00,21.95
Algeria,22.68,22.73,23.33,23.06,22.49,22.64,21.19,22.76,21.56,21.27
Andorra,8.52,9.21,9.31,9.06,9.94,9.35,10.15,10.80,11.66,11.43
Angola,27.16,25.85,25.44,26.08,25.03,24.12,24.53,24.01,24.67,24.20
Antigua and Barbuda,8.30,8.87,9.27,8.95,8.89,8.50,8.05,8.20,7.79,8.17
Argentina,12.04,12.60,13.24,13.93,14.18,13.56,14.02,12.95,13.22,13.14
Armenia,34.13,37.09,37.76,40.04,40.59,40.56,42.85,45.90,46.46,40.90
Australia,8.93,7.11,6.89,6.67,6.60,6.91,7.26,7.31,8.08,9.03
Austria,11.51,12.68,12.32,12.28,13.63,12.98,13.98,14.25,15.99,15.62
Azerbaijan,24.64,26.96,27.48,28.84,29.67,29.93,31.35,33.58,33.92,30.11
Bahamas,5.20,5.61,5.80,5.56,5.32,5.32,5.08,5.28,4.92,4.97
Bahrain,51.82,54.49,54.72,52.90,56.38,50.12,52.80,54.40,54.69,55.87
Bangladesh,45.99,50.66,46.19,47.78,50.63,50.96,52.87,50.82,49.97,49.43
Barbados,9.79,10.36,10.91,10.34,10.53,9.95,9.32,9.60,9.04,9.15
Belarus,15.48,16.09,14.37,14.78,16.49,18.77,17.94,17.35,18.10,19.91
Belgium,11.26,12.16,12.33,12.37,13.28,13.13,14.41,14.64,16.29,16.08
Belize,10.51,10.90,11.36,11.10,11.10,10.80,10.25,10.18,9.80,9.91
Benin,31.51,32.34,32.66,32.73,33.11,31.14,30.84,31.85,31.37,30.97
Bhutan,26.10,28.73,26.49,27.63,29.04,29.72,30.70,30.03,29.09,29.51
Bolivia (Plurinational State of),25.23,24.63,24.17,26.40,26.50,27.48,26.52,26.26,25.83,28.03
Bosnia and Herzegovina,26.19,32.02,31.40,29.71,30.74,32.07,31.49,34.06,36.57,34.91
Botswana,12.82,12.95,13.11,12.69,12.89,12.78,12.81,13.00,13.69,14.14
Brazil,10.94,11.15,14.86,12.00,12.05,13.29,13.15,14.14,14.89,14.60
Brunei Darussalam,6.86,6.70,7.03,7.91,7.81,8.02,8.08,7.62,8.42,8.33
Bulgaria,17.29,20.40,20.30,19.63,20.41,21.17,21.16,22.22,24.29,23.87
Burkina Faso,40.74,41.77,42.74,43.05,43.63,40.02,38.51,41.17,40.39,41.30
Burundi,28.00,27.98,27.63,28.37,28.37,28.28,28.21,28.29,27.70,27.84
Cabo Verde,31.08,31.20,32.59,31.83,33.38,30.11,30.72,31.92,31.06,28.17
Cambodia,17.80,17.16,16.84,19.16,17.43,17.02,19.20,18.22,17.31,18.85
Cameroon,56.37,57.80,59.30,59.20,59.09,53.82,53.04,55.42,54.40,53.58
Canada,6.39,7.09,6.90,6.31,7.15,7.29,7.41,7.71,7.87,7.76
Central African Republic,27.20,28.25,27.94,29.15,29.06,27.61,26.62,27.84,28.59,27.87
Chad,41.15,42.61,44.36,44.49,44.50,41.04,40.62,43.04,42.21,41.64
Chile,20.49,21.47,22.69,23.75,24.15,23.14,23.83,22.01,22.50,22.25
China,38.15,40.54,46.90,47.61,51.76,55.40,64.93,53.43,51.92,47.18
Colombia,14.04,14.72,15.90,16.90,17.33,17.21,18.08,17.18,17.85,17.42
Comoros,14.37,14.42,14.29,14.15,14.54,14.24,14.07,14.16,13.89,13.73
Congo,29.48,29.27,28.77,30.03,28.99,28.65,29.90,29.85,30.50,30.36
Cook Islands,7.80,7.76,7.60,7.62,7.45,7.36,7.44,7.43,7.30,7.46
Costa Rica,14.70,15.59,17.05,17.86,18.32,18.04,19.14,18.51,19.18,18.35
Côte d'Ivoire,40.41,41.81,42.12,42.70,43.76,39.55,39.45,41.19,40.75,39.44
Croatia,15.29,18.98,18.22,17.73,18.65,19.10,18.93,19.89,22.07,20.99
Cuba,13.32,14.28,14.76,14.47,14.16,13.71,13.24,13.71,12.78,13.32
Cyprus,14.52,15.38,14.60,13.67,15.13,14.88,16.12,16.23,17.57,18.53
Czechia,14.34,17.50,16.99,16.62,17.52,18.28,18.07,18.80,20.80,20.25
Democratic People's Republic of Korea,41.46,43.53,50.32,51.04,56.44,60.09,68.48,56.46,55.18,50.41
Democratic Republic of the Congo,31.58,31.46,31.32,32.99,32.21,31.47,32.08,32.14,31.62,31.84
Denmark,9.66,10.02,9.97,9.78,10.73,10.39,10.97,11.44,12.98,12.27
Djibouti,19.98,20.39,20.90,20.47,20.39,20.00,20.71,21.16,20.82,20.58
Dominica,8.22,8.75,9.23,8.88,8.81,8.36,7.89,8.12,7.70,7.86
Dominican Republic,7.59,8.00,8.32,8.02,7.87,7.70,7.22,7.46,7.04,7.52
Ecuador,16.55,16.38,15.84,17.17,17.73,18.56,18.12,17.74,17.10,17.47
Egypt,63.16,62.20,62.05,61.97,61.56,62.02,61.93,60.50,59.32,60.83
El Salvador,22.15,23.36,24.94,26.44,27.18,27.04,28.61,26.86,28.31,26.93
Equatorial Guinea,25.67,26.38,26.62,26.95,27.29,24.11,24.31,25.53,24.93,24.25
Eritrea,22.74,22.98,23.56,22.30,22.33,21.31,22.21,22.69,22.72,22.42
Estonia,6.35,6.70,5.90,6.20,6.75,7.85,7.63,7.38,7.65,8.47
Eswatini,15.07,14.95,14.78,14.58,14.83,15.05,14.90,14.75,14.71,14.97
Ethiopia,21.80,22.23,22.23,22.17,22.12,21.94,22.07,22.09,22.38,22.26
Fiji,7.36,7.52,7.45,7.39,7.32,7.23,7.12,7.10,7.04,7.19
Finland,5.47,5.57,5.37,5.39,5.83,5.77,6.20,6.33,7.03,7.07
France,10.46,11.23,11.29,11.24,12.21,11.88,12.95,13.29,14.72,14.45
Gabon,26.29,26.26,25.90,26.67,26.13,24.74,25.17,25.71,25.37,25.25
Gambia,39.10,39.86,40.50,38.93,39.87,37.96,36.76,38.99,37.63,37.46
Georgia,19.06,20.66,21.06,22.24,22.57,22.76,23.92,25.60,25.98,22.84
Germany,10.73,11.70,11.78,11.66,12.64,12.47,13.27,13.76,15.42,15.06
Ghana,46.04,48.04,48.44,49.59,50.01,44.33,44.53,46.17,45.88,44.16
Greece,14.62,15.69,15.20,15.17,16.45,15.61,17.32,17.70,19.55,19.70
Grenada,10.08,10.57,11.14,10.59,10.76,10.18,9.54,9.78,9.24,9.40
Guatemala,20.75,21.71,23.82,25.00,25.42,25.22,27.23,25.71,27.38,25.98
Guinea,37.57,37.96,38.63,39.28,39.19,37.47,35.99,38.56,36.86,36.76
Guinea-Bissau,34.85,35.90,36.53,35.01,36.11,34.51,33.12,35.24,34.20,33.91
Guyana,11.11,11.52,12.03,11.76,11.72,11.08,10.41,10.76,10.09,10.49
Haiti,9.69,10.23,10.61,10.36,10.14,9.92,9.37,9.61,9.05,9.56
