Country,Continent,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,Asia,96.51,92.62,94.02,99.67,93.43,92.67,87.23,85.24,97.15,86.46
Albania,Europe,24.69,25.75,24.28,22.19,21.32,21.23,20.18,21.12,21.9,18.21
Algeria,Africa,32.39,33.06,35.6,32.32,35.12,34.91,35.92,36.41,35.3,35.29
Andorra,Europe,13.43,13.69,12.71,11.93,11.04,11.68,10.71,10.97,10.85,10.05
Angola,Africa,65.55,67.99,65.45,68.88,68.3,73.14,80.35,78.84,82.46,89.91
Antigua and Barbuda,America,12.09,11.63,11.9,11.46,11.84,12.31,13.15,13.63,13.05,11.54
Argentina,America,17.12,17.17,16.53,18.07,17.61,18.33,18.2,17.76,16.68,15.57
Armenia,Asia,57.47,67.82,68.08,60.04,57.65,56.61,58.58,55.16,51.35,47.1
Australia,Oceania,9.93,8.68,7.85,7.63,7.17,6.93,7.02,7.21,7.53,9.27
Austria,Europe,16.04,16.49,14.71,14.43,13.41,14.06,12.68,12.68,13.09,11.88
Azerbaijan,Asia,51.81,55.06,54.94,51.64,46.57,49.72,45.56,43.12,42.17,37.54
Bahamas,America,7.04,7.48,7.99,7.09,7.48,7.79,7.72,8.3,7.7,7.05
Bahrain,Asia,62.44,60.92,60.62,59.04,55.39,63.08,59.15,60.98,60.76,57.66
Bangladesh,Asia,56.0,55.15,55.92,57.97,56.06,55.38,52.87,50.85,55.93,51.0
Barbados,America,13.57,13.29,14.27,13.54,14.11,15.94,15.38,15.83,14.83,13.99
Belarus,Europe,22.08,20.39,19.93,20.15,22.07,18.84,16.91,16.54,18.4,17.71
Belgium,Europe,16.63,16.88,15.14,14.94,13.57,13.72,12.76,12.73,12.58,11.62
Belize,America,20.14,19.96,20.08,20.04,21.24,22.65,21.96,22.57,20.92,20.5
Benin,Africa,47.01,47.17,48.03,46.33,47.16,49.95,49.52,49.36,48.68,47.27
Bhutan,Asia,32.78,32.08,32.89,33.5,32.72,31.84,30.63,29.04,31.57,28.81
Bolivia (Plurinational State of),America,38.65,35.97,37.96,37.52,37.7,37.5,35.8,32.27,34.31,36.37
Bosnia and Herzegovina,Europe,38.48,40.22,37.21,34.66,35.33,34.0,32.6,34.36,35.04,28.67
Botswana,Africa,20.69,20.03,19.18,18.87,18.72,19.01,18.47,19.3,19.07,18.78
Brazil,America,17.35,17.9,16.76,15.61,15.66,14.26,14.3,17.85,13.06,13.01
Brunei Darussalam,Asia,10.06,10.27,9.32,9.8,9.78,9.47,9.6,8.41,8.13,8.32
Bulgaria,Europe,25.02,25.55,23.34,22.3,22.21,21.56,20.68,21.26,21.42,18.21
Burkina Faso,Africa,92.76,90.25,92.26,85.32,89.35,99.32,97.72,96.92,94.19,91.48
Burundi,Africa,60.65,60.31,61.61,61.46,61.61,61.82,61.8,60.14,60.9,60.89
Cabo Verde,Africa,49.69,56.59,58.84,55.75,54.28,63.25,58.26,60.6,56.67,56.39
Cambodia,Asia,22.03,19.93,20.35,21.71,18.88,19.63,21.68,19.48,19.63,19.5
Cameroon,Africa,75.53,76.82,78.83,73.59,75.2,85.56,85.74,85.72,83.2,79.81
Canada,America,7.96,8.08,7.92,7.61,7.5,7.37,6.5,7.11,7.29,6.59
Central African Republic,Africa,77.15,80.24,76.8,71.86,76.36,82.4,82.35,77.57,79.54,74.79
Chad,Africa,70.4,71.73,74.03,68.33,69.31,77.64,77.43,76.96,72.55,69.38
Chile,America,24.52,24.73,23.92,25.54,24.68,25.59,25.5,26.33,24.24,21.89
China,Asia,49.38,59.45,59.15,67.88,57.5,53.54,49.35,48.35,41.97,39.42
Colombia,America,20.27,20.73,19.9,21.09,19.36,19.91,19.92,18.12,16.82,16.76
Comoros,Africa,21.84,22.23,23.06,22.68,23.28,24.39,22.86,23.35,23.81,23.58
Congo,Africa,109.47,110.2,105.26,106.3,97.25,98.68,105.95,97.69,100.88,102.37
Cook Islands,Oceania,18.26,18.23,16.66,17.15,16.84,15.44,17.56,17.23,17.37,16.85
Costa Rica,America,21.54,22.59,21.76,22.1,20.98,21.92,20.57,19.74,18.25,17.14
Côte d'Ivoire,Africa,67.12,69.71,70.5,67.35,67.34,75.37,73.32,72.23,71.63,68.96
Croatia,Europe,22.68,23.67,21.3,20.48,20.66,20.22,19.02,19.7,20.44,16.51
Cuba,America,18.48,18.28,19.57,17.92,18.22,19.33,20.35,20.91,20.15,19.28
Cyprus,Asia,20.57,19.51,18.05,17.88,16.52,16.82,15.23,16.16,17.17,16.16
Czechia,Europe,20.9,21.4,19.46,18.62,18.87,18.0,17.16,17.51,18.04,14.79
Democratic People's Republic of Korea,Asia,65.52,72.45,73.64,87.86,77.31,72.96,66.25,65.02,56.34,53.61
Democratic Republic of the Congo,Africa,101.19,100.1,102.87,103.64,99.24,102.3,106.5,97.99,99.12,99.19
Denmark,Europe,13.48,14.33,12.59,12.09,11.48,11.81,10.75,11.0,11.06,10.69
Djibouti,Africa,43.47,44.31,45.42,43.98,41.68,42.98,43.27,44.69,43.03,41.73
Dominica,America,11.46,11.89,12.26,11.88,11.68,12.75,13.59,13.16,12.59,12.05
Dominican Republic,America,11.55,10.51,10.6,10.92,11.32,11.53,11.72,12.23,11.43,11.52
Ecuador,America,20.45,19.9,20.19,20.97,21.81,20.4,20.41,18.46,19.34,20.05
Egypt,Africa,88.94,86.28,88.35,90.62,90.31,90.1,90.78,90.79,90.86,92.33
