Country,Continent,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,Asia,68.97,66.94,68.26,72.18,68.06,67.20,64.00,61.78,70.25,62.49
Albania,Europe,21.95,23.00,21.70,19.77,19.13,18.98,18.15,19.01,19.76,16.28
Algeria,Africa,21.27,21.56,22.76,21.19,22.64,22.49,23.06,23.33,22.73,22.68
Andorra,Europe,11.43,11.66,10.80,10.15,9.35,9.94,9.06,9.31,9.21,8.52
Angola,Africa,24.20,24.67,24.01,24.53,24.12,25.03,26.08,25.44,25.85,27.16
Antigua and Barbuda,America,8.17,7.79,8.20,8.05,8.50,8.89,8.95,9.27,8.87,8.30
Argentina,America,13.14,13.22,12.95,14.02,13.56,14.18,13.93,13.24,12.60,12.04
Armenia,Asia,40.90,46.46,45.90,42.85,40.56,40.59,40.04,37.76,37.09,34.13
Australia,Oceania,9.03,8.08,7.31,7.26,6.91,6.60,6.67,6.89,7.11,8.93
Austria,Europe,15.62,15.99,14.25,13.98,12.98,13.63,12.28,12.32,12.68,11.51
Azerbaijan,Asia,30.11,33.92,33.58,31.35,29.93,29.67,28.84,27.48,26.96,24.64
Bahamas,America,4.97,4.92,5.28,5.08,5.32,5.32,5.56,5.80,5.61,5.20
Bahrain,Asia,55.87,54.69,54.40,52.80,50.12,56.38,52.90,54.72,54.49,51.82
Bangladesh,Asia,49.43,49.97,50.82,52.87,50.96,50.63,47.78,46.19,50.66,45.99
Barbados,America,9.15,9.04,9.60,9.32,9.95,10.53,10.34,10.91,10.36,9.79
Belarus,Europe,19.91,18.10,17.35,17.94,18.77,16.49,14.78,14.37,16.09,15.48
Belgium,Europe,16.08,16.29,14.64,14.41,13.13,13.28,12.37,12.33,12.16,11.26
Belize,America,9.91,9.80,10.18,10.25,10.80,11.10,11.10,11.36,10.90,10.51
Benin,Africa,30.97,31.37,31.85,30.84,31.14,33.11,32.73,32.66,32.34,31.51
Bhutan,Asia,29.51,29.09,30.03,30.70,29.72,29.04,27.63,26.49,28.73,26.10
Bolivia (Plurinational State of),America,28.03,25.83,26.26,26.52,27.48,26.50,26.40,24.17,24.63,25.23
Bosnia and Herzegovina,Europe,34.91,36.57,34.06,31.49,32.07,30.74,29.71,31.40,32.02,26.19
Botswana,Africa,14.14,13.69,13.00,12.81,12.78,12.89,12.69,13.11,12.95,12.82
Brazil,America,14.60,14.89,14.14,13.15,13.29,12.05,12.00,14.86,11.15,10.94
Brunei Darussalam,Asia,8.33,8.42,7.62,8.08,8.02,7.81,7.91,7.03,6.70,6.86
Bulgaria,Europe,23.87,24.29,22.22,21.16,21.17,20.41,19.63,20.30,20.40,17.29
Burkina Faso,Africa,41.30,40.39,41.17,38.51,40.02,43.63,43.05,42.74,41.77,40.74
Burundi,Africa,27.84,27.70,28.29,28.21,28.28,28.37,28.37,27.63,27.98,28.00
Cabo Verde,Africa,28.17,31.06,31.92,30.72,30.11,33.38,31.83,32.59,31.20,31.08
Cambodia,Asia,18.85,17.31,18.22,19.20,17.02,17.43,19.16,16.84,17.16,17.80
Cameroon,Africa,53.58,54.40,55.42,53.04,53.82,59.09,59.20,59.30,57.80,56.37
Canada,America,7.76,7.87,7.71,7.41,7.29,7.15,6.31,6.90,7.09,6.39
Central African Republic,Africa,27.87,28.59,27.84,26.62,27.61,29.06,29.15,27.94,28.25,27.20
Chad,Africa,41.64,42.21,43.04,40.62,41.04,44.50,44.49,44.36,42.61,41.15
Chile,America,22.25,22.50,22.01,23.83,23.14,24.15,23.75,22.69,21.47,20.49
China,Asia,47.18,51.92,53.43,64.93,55.40,51.76,47.61,46.90,40.54,38.15
Colombia,America,17.42,17.85,17.18,18.08,17.21,17.33,16.90,15.90,14.72,14.04
Comoros,Africa,13.73,13.89,14.16,14.07,14.24,14.54,14.15,14.29,14.42,14.37
Congo,Africa,30.36,30.50,29.85,29.90,28.65,28.99,30.03,28.77,29.27,29.48
Cook Islands,Oceania,7.46,7.30,7.43,7.44,7.36,7.45,7.62,7.60,7.76,7.80
Costa Rica,America,18.35,19.18,18.51,19.14,18.04,18.32,17.86,17.05,15.59,14.70
Côte d'Ivoire,Africa,39.44,40.75,41.19,39.45,39.55,43.76,42.70,42.12,41.81,40.41
Croatia,Europe,20.99,22.07,19.89,18.93,19.10,18.65,17.73,18.22,18.98,15.29
Cuba,America,13.32,12.78,13.71,13.24,13.71,14.16,14.47,14.76,14.28,13.32
Cyprus,Asia,18.53,17.57,16.23,16.12,14.88,15.13,13.67,14.60,15.38,14.52
Czechia,Europe,20.25,20.80,18.80,18.07,18.28,17.52,16.62,16.99,17.50,14.34
Democratic People's Republic of Korea,Asia,50.41,55.18,56.46,68.48,60.09,56.44,51.04,50.32,43.53,41.46
Democratic Republic of the Congo,Africa,31.84,31.62,32.14,32.08,31.47,32.21,32.99,31.32,31.46,31.58
Denmark,Europe,12.27,12.98,11.44,10.97,10.39,10.73,9.78,9.97,10.02,9.66
Djibouti,Africa,20.58,20.82,21.16,20.71,20.00,20.39,20.47,20.90,20.39,19.98
Dominica,America,7.86,7.70,8.12,7.89,8.36,8.81,8.88,9.23,8.75,8.22
Dominican Republic,America,7.52,7.04,7.46,7.22,7.70,7.87,8.02,8.32,8.00,7.59
Ecuador,America,17.47,17.10,17.74,18.12,18.56,17.73,17.17,15.84,16.38,16.55
Egypt,Africa,60.83,59.32,60.50,61.93,62.02,61.56,61.97,62.05,62.20,63.16
El Salvador,America,26.93,28.31,26.86,28.61,27.04,27.18,26.44,24.94,23.36,22.15
Equatorial Guinea,Africa,24.25,24.93,25.53,24.31,24.11,27.29,26.95,26.62,26.38,25.67
Eritrea,Africa,22.42,22.72,22.69,22.21,21.31,22.33,22.30,23.56,22.98,22.74
Estonia,Europe,8.47,7.65,7.38,7.63,7.85,6.75,6.20,5.90,6.70,6.35
Eswatini,Africa,14.97,14.71,14.75,14.90,15.05,14.83,14.58,14.78,14.95,15.07
Ethiopia,Africa,22.26,22.38,22.09,22.07,21.94,22.12,22.17,22.23,22.23,21.80
Fiji,Oceania,7.19,7.04,7.10,7.12,7.23,7.32,7.39,7.45,7.52,7.36
Finland,Europe,7.07,7.03,6.33,6.20,5.77,5.83,5.39,5.37,5.57,5.47
France,Europe,14.45,14.72,13.29,12.95,11.88,12.21,11.24,11.29,11.23,10.46
Gabon,Africa,25.25,25.37,25.71,25.17,24.74,26.13,26.67,25.90,26.26,26.29
Gambia,Africa,37.46,37.63,38.99,36.76,37.96,39.87,38.93,40.50,39.86,39.10
Georgia,Asia,22.84,25.98,25.60,23.92,22.76,22.57,22.24,21.06,20.66,19.06
Germany,Europe,15.06,15.42,13.76,13.27,12.47,12.64,11.66,11.78,11.70,10.73
Ghana,Africa,44.16,45.88,46.17,44.53,44.33,50.01,49.59,48.44,48.04,46.04
Greece,Europe,19.70,19.55,17.70,17.32,15.61,16.45,15.17,15.20,15.69,14.62
Grenada,America,9.40,9.24,9.78,9.54,10.18,10.76,10.59,11.14,10.57,10.08
Guatemala,America,25.98,27.38,25.71,27.23,25.22,25.42,25.00,23.82,21.71,20.75
Guinea,Africa,36.76,36.86,38.56,35.99,37.47,39.19,39.28,38.63,37.96,37.57
Guinea-Bissau,Africa,33.91,34.20,35.24,33.12,34.51,36.11,35.01,36.53,35.90,34.85
Guyana,America,10.49,10.09,10.76,10.41,11.08,11.72,11.76,12.03,11.52,11.11
Haiti,America,9.56,9.05,9.61,9.37,9.92,10.14,10.36,10.61,10.23,9.69
Honduras,America,22.41,24.70,22.49,24.52,23.10,23.07,22.63,21.07,20.03,18.93
Hungary,Europe,19.48,20.29,18.10,17.41,17.68,17.16,16.18,16.62,17.25,14.24
Iceland,Europe,6.91,7.46,6.64,6.39,6.03,6.43,5.69,5.75,5.89,5.79
India,Asia,55.17,55.05,55.72,58.20,55.89,55.48,53.00,51.30,55.48,50.17
Indonesia,Asia,20.59,19.12,20.27,20.91,18.87,19.34,20.78,18.41,18.47,19.34
Iran (Islamic Republic of),Asia,29.89,29.61,29.63,29.55,29.06,29.87,29.50,30.35,32.18,31.62
Iraq,Asia,39.32,38.61,38.57,38.56,36.63,39.05,38.51,38.86,39.98,39.29
Ireland,Europe,9.90,10.60,9.43,9.33,8.74,9.16,8.08,8.13,8.31,8.20
Israel,Asia,24.23,23.71,22.15,22.07,20.43,21.65,19.90,19.54,20.22,19.47
Italy,Europe,20.11,20.73,18.52,17.91,16.69,17.28,15.82,15.73,15.97,14.22
Jamaica,America,14.58,13.68,14.71,14.32,15.36,15.75,15.98,16.30,15.73,14.83
Japan,Asia,14.22,13.91,12.37,13.45,13.41,12.75,12.54,11.89,10.87,10.84
Jordan,Asia,24.53,24.63,24.94,24.85,24.47,25.34,24.87,25.29,25.85,25.87
Kazakhstan,Asia,30.42,34.57,34.82,32.64,30.91,30.83,30.66,29.04,28.46,26.50
Kenya,Africa,12.38,12.43,12.46,12.44,12.47,12.50,12.53,12.51,12.58,12.52
Kiribati,Oceania,7.60,7.62,7.54,7.55,7.33,7.31,7.64,7.63,7.67,7.62
Kuwait,Asia,66.51,65.28,65.70,65.57,61.96,66.17,64.37,65.63,66.05,64.08
Kyrgyzstan,Asia,44.68,50.70,50.32,47.61,44.60,44.58,44.05,41.61,41.00,37.58
Lao People's Democratic Republic,Asia,22.86,20.19,21.75,22.54,20.15,20.55,23.09,19.68,19.68,21.15
Latvia,Europe,16.48,15.06,14.35,15.06,15.39,13.40,12.15,11.46,12.84,12.02
Lebanon,Asia,24.24,23.34,23.97,23.90,23.82,24.49,24.11,23.53,24.08,24.23
Lesotho,Africa,18.43,17.74,17.54,17.75,17.95,17.65,17.42,17.75,17.80,17.60
Liberia,Africa,32.85,33.44,35.50,33.16,34.66,37.68,35.72,35.98,35.68,35.80
Libya,Africa,31.19,28.60,28.53,30.87,29.98,29.07,30.07,28.42,30.41,29.84
Lithuania,Europe,13.87,12.77,12.19,12.65,12.92,11.44,10.30,9.91,11.12,10.37
Luxembourg,Europe,12.38,12.63,11.32,11.03,10.27,10.45,9.75,9.84,9.71,8.89
Madagascar,Africa,16.50,16.53,16.17,16.55,16.24,16.42,16.52,15.86,16.14,16.02
Malawi,Africa,18.72,18.85,18.97,18.73,18.71,18.80,18.58,18.48,18.61,18.57
Malaysia,Asia,22.67,21.04,22.27,23.18,20.81,21.44,22.89,20.38,20.50,21.52
Maldives,Asia,13.39,12.38,13.27,13.67,12.08,12.23,13.66,12.52,12.47,13.00
Mali,Africa,39.04,38.29,39.79,36.21,38.38,40.77,40.08,40.34,39.82,38.55
Malta,Europe,17.17,16.46,14.39,14.31,13.90,13.85,13.27,12.60,13.79,12.93
Marshall Islands,Oceania,7.27,7.07,7.12,7.21,6.97,7.10,7.27,7.15,7.14,7.21
Mauritania,Africa,38.90,41.32,42.28,40.30,40.81,43.68,42.43,43.42,42.58,41.98
Mauritius,Africa,10.60,10.54,10.59,10.64,10.66,10.75,10.73,10.35,10.45,10.48
Mexico,America,22.13,23.53,22.24,23.19,21.56,21.80,21.21,20.44,18.75,17.83
Micronesia (Federated States of),Oceania,7.55,7.35,7.46,7.64,7.37,7.65,7.73,7.62,7.63,7.79
Monaco,Europe,11.91,12.37,11.16,10.77,9.97,10.41,9.53,9.63,9.88,9.21
Mongolia,Asia,45.20,51.58,52.19,48.77,47.14,47.79,47.50,45.50,44.04,41.30
Montenegro,Europe,26.09,27.21,26.83,23.40,23.26,22.50,21.48,22.66,23.35,19.30
Morocco,Africa,13.17,13.28,13.24,12.87,13.26,13.48,13.55,13.91,13.58,13.44
Mozambique,Africa,16.65,16.31,16.47,16.65,16.68,16.68,16.43,16.26,16.68,16.45
Myanmar,Asia,29.45,26.64,28.51,29.31,26.08,26.53,29.25,25.93,26.04,27.16
Namibia,Africa,11.94,12.10,12.17,11.85,11.93,11.88,11.90,11.98,11.88,11.81
Nauru,Oceania,7.50,7.58,7.40,7.37,7.18,7.28,7.33,7.45,7.59,7.40
Nepal,Asia,39.78,39.48,40.44,41.79,40.30,39.82,38.43,36.76,40.06,36.43
Netherlands,Europe,15.01,15.53,13.75,13.20,12.49,12.59,11.60,11.63,11.49,10.74
New Zealand,Oceania,9.35,8.54,7.67,7.51,7.19,6.94,6.91,7.14,7.45,8.61
Nicaragua,America,19.92,20.95,20.12,21.24,20.25,20.61,19.56,18.44,17.24,16.00
Niger,Africa,49.55,49.57,49.83,47.72,48.80,52.87,52.51,52.41,50.74,50.15
Nigeria,Africa,52.85,53.71,54.53,52.89,53.96,57.28,57.17,57.45,56.52,55.64
Niue,Oceania,6.44,6.34,6.43,6.41,6.52,6.53,6.75,6.64,6.73,6.74
Norway,Europe,7.86,8.32,7.33,7.13,6.62,6.82,6.33,6.36,6.33,6.30
"occupied Palestinian territory, including east Jerusalem",Asia,29.42,28.77,29.45,29.85,30.03,30.49,30.29,29.81,30.52,30.82
Oman,Asia,35.54,35.90,36.91,36.21,34.69,35.84,35.54,35.99,36.68,34.88
Pakistan,Asia,56.40,55.34,56.29,59.05,56.26,55.90,53.65,51.98,56.50,50.13
Palau,Oceania,7.23,7.61,7.78,7.77,7.76,8.02,7.59,7.50,7.77,7.82
Panama,America,14.13,14.78,14.52,15.21,14.52,14.87,14.04,13.38,12.37,11.78
Papua New Guinea,Oceania,8.65,8.28,8.39,8.39,8.39,8.97,8.69,8.87,8.93,8.89
Paraguay,America,16.37,15.89,15.26,14.34,14.08,13.00,13.27,16.36,12.11,12.31
Peru,America,29.59,28.47,29.99,30.47,31.47,30.29,29.49,27.76,28.81,29.07
Philippines,Asia,23.82,22.13,23.35,24.21,21.54,22.05,23.90,21.62,21.52,22.45
Poland,Europe,26.32,27.02,24.47,23.36,23.45,22.59,21.34,21.96,22.51,18.83
Portugal,Europe,10.55,10.68,9.43,9.44,7.90,8.68,8.42,9.04,7.90,7.34
Qatar,Asia,64.27,63.84,63.84,61.37,58.29,65.91,61.30,63.11,62.66,59.04
Republic of Korea,Asia,29.83,29.35,26.18,28.54,28.95,27.61,27.26,25.81,23.70,24.04
Republic of Moldova,Europe,16.83,15.67,14.85,15.10,15.64,13.61,12.51,11.98,13.30,12.37
North Macedonia,Europe,34.53,36.52,33.88,30.88,30.38,29.51,28.23,29.26,30.06,25.17
Romania,Europe,18.06,18.68,16.96,15.96,15.96,15.41,14.85,15.32,15.60,13.30
Russian Federation,Europe,11.88,10.53,10.22,10.46,10.80,9.49,8.71,8.38,9.22,8.88
Rwanda,Africa,34.40,34.81,35.33,34.88,34.93,34.69,34.97,34.71,34.92,35.66
Saint Kitts and Nevis,America,7.93,7.53,7.91,7.75,8.22,8.59,8.66,8.97,8.59,8.05
Saint Lucia,America,8.43,8.34,8.81,8.55,9.10,9.62,9.56,10.03,9.51,8.98
Saint Vincent and the Grenadines,America,8.85,8.75,9.23,8.97,9.55,10.09,10.05,10.50,9.94,9.41
Samoa,Oceania,7.40,7.48,7.56,7.64,7.55,7.76,7.62,7.67,7.77,7.78
San Marino,Europe,13.02,13.44,12.12,11.72,11.00,11.42,10.33,10.55,10.81,9.85
Sao Tome and Principe,Africa,31.74,32.58,33.16,32.41,32.12,34.00,34.45,33.62,33.84,33.75
Saudi Arabia,Asia,56.55,56.65,58.60,57.10,52.96,58.48,55.76,58.47,58.30,57.16
Senegal,Africa,36.73,37.61,38.98,36.88,37.69,39.90,38.67,39.89,39.08,38.21
Serbia,Europe,29.42,30.68,27.88,26.17,26.27,25.33,24.25,24.95,25.86,21.74
Seychelles,Africa,17.90,16.79,17.82,18.27,16.23,16.51,18.15,16.37,16.48,16.96
Sierra Leone,Africa,36.32,37.26,41.10,37.75,40.53,42.53,40.62,40.25,39.46,39.42
Singapore,Asia,16.89,16.54,15.20,16.58,16.63,16.16,15.48,14.23,13.12,13.33
Slovakia,Europe,21.70,22.66,20.27,19.47,19.52,19.05,17.98,18.49,19.08,15.89
Slovenia,Europe,19.69,20.55,18.73,17.98,17.91,17.55,16.74,17.08,17.77,14.08
Solomon Islands,Oceania,7.42,7.37,7.43,7.54,7.62,7.86,7.76,7.80,7.95,7.83
Somalia,Africa,14.35,14.47,14.61,14.27,14.25,14.22,14.40,14.50,14.45,14.28
South Africa,Africa,18.69,18.67,18.68,18.82,18.98,19.14,19.07,19.38,19.52,19.75
South Sudan,Africa,21.21,21.83,21.92,21.54,21.24,22.06,22.37,21.64,21.94,20.18
Spain,Europe,12.72,13.09,11.83,11.22,10.31,11.11,10.04,10.21,10.08,9.34
Sri Lanka,Asia,24.99,23.21,24.61,25.48,22.66,23.08,25.46,22.99,23.12,23.88
Sudan,Africa,22.01,22.61,22.61,21.94,21.40,22.55,22.41,22.73,21.89,21.43
Suriname,America,11.36,11.12,11.86,11.46,12.23,12.96,12.90,13.30,12.75,12.17
Sweden,Europe,7.52,7.76,6.90,6.61,6.30,6.37,5.88,5.93,6.09,5.96
Switzerland,Europe,12.76,13.00,11.74,11.38,10.51,10.82,9.99,9.89,10.01,8.97
Syrian Arab Republic,Asia,25.08,24.62,24.70,24.46,24.13,24.75,24.43,24.83,25.13,25.14
Tajikistan,Asia,63.40,71.80,71.50,67.17,63.46,63.28,62.73,59.39,58.58,53.65
Thailand,Asia,26.36,24.16,25.66,26.62,23.66,24.10,26.42,23.54,23.68,24.64
Timor-Leste,Asia,20.75,19.57,20.73,21.12,19.27,19.43,21.20,19.49,19.66,20.47
Togo,Africa,34.98,35.82,35.96,34.79,34.92,38.25,37.52,37.25,36.83,35.66
Tonga,Oceania,7.14,7.05,7.10,7.09,7.20,7.26,7.40,7.38,7.47,7.52
Trinidad and Tobago,America,9.79,9.44,9.97,9.79,10.34,10.94,10.95,11.27,10.72,10.26
Tunisia,Africa,26.68,25.54,25.40,25.75,27.01,26.13,27.58,26.13,27.22,26.52
