Country,Continent,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,Asia,49.48,48.9,49.6,52.57,49.36,49.05,46.01,44.81,50.62,45.04
Albania,Europe,19.82,20.57,19.51,17.95,17.34,17.17,16.42,17.22,17.97,14.73
Algeria,Africa,13.92,14.03,14.57,13.87,14.54,14.46,14.73,14.84,14.57,14.54
Andorra,Europe,10.07,10.25,9.44,8.88,8.23,8.72,7.93,8.16,8.08,7.49
Angola,Africa,6.17,6.18,6.13,6.11,6.02,6.03,6.01,5.89,5.84,5.85
Antigua and Barbuda,America,5.3,5.19,5.83,5.51,5.93,6.03,6.03,6.49,6.12,5.72
Argentina,America,9.68,9.96,9.27,10.47,10.23,10.46,10.47,9.74,9.1,8.92
Armenia,Asia,28.63,32.91,31.9,30.88,29.41,30.19,28.38,28.17,28.54,24.44
Australia,Oceania,8.14,7.3,6.82,6.86,6.6,6.31,6.37,6.55,6.71,8.61
Austria,Europe,15.2,15.59,13.85,13.59,12.66,13.29,11.94,12.0,12.37,11.2
Azerbaijan,Asia,14.88,18.77,17.68,18.23,17.09,16.4,16.23,15.26,15.44,13.74
Bahamas,America,3.48,3.5,3.79,3.69,3.87,3.89,4.09,4.16,4.18,3.77
Bahrain,Asia,49.02,48.21,48.04,46.77,44.31,49.48,46.87,48.32,48.17,45.88
Bangladesh,Asia,43.01,45.05,46.02,47.76,46.11,45.48,43.27,41.55,45.61,41.65
Barbados,America,6.12,6.23,6.93,6.33,6.71,7.12,6.92,7.72,7.14,6.9
Belarus,Europe,16.58,15.67,15.33,15.56,16.14,14.11,12.57,12.09,13.87,13.25
Belgium,Europe,15.5,15.74,14.12,13.96,12.7,12.82,11.94,11.9,11.75,10.87
Belize,America,4.11,4.04,4.03,4.01,4.16,4.22,4.47,4.8,4.6,4.33
Benin,Africa,20.26,20.35,20.42,20.31,20.39,20.6,20.64,20.67,20.69,20.62
Bhutan,Asia,25.86,26.08,26.93,27.54,26.71,26.07,24.76,23.66,25.77,23.46
Bolivia (Plurinational State of),America,20.08,18.18,18.59,18.13,20.12,18.68,18.01,16.59,17.37,16.41
Bosnia and Herzegovina,Europe,32.26,34.11,31.39,28.85,29.56,28.35,27.37,28.81,29.54,24.23
Botswana,Africa,9.42,9.46,9.22,9.23,9.25,9.29,9.17,9.34,9.31,9.27
Brazil,America,12.41,12.86,12.04,11.39,11.53,10.46,10.34,12.82,9.64,9.37
Brunei Darussalam,Asia,7.06,7.04,6.36,6.79,6.71,6.53,6.54,5.93,5.56,5.76
Bulgaria,Europe,22.72,23.14,21.12,20.19,20.21,19.51,18.74,19.32,19.37,16.54
Burkina Faso,Africa,16.22,16.23,16.32,16.2,16.32,16.73,16.66,16.6,16.6,16.57
Burundi,Africa,10.73,10.77,10.77,10.81,10.84,10.87,10.91,10.98,11.01,11.05
Cabo Verde,Africa,14.98,16.52,16.9,16.37,16.09,17.39,16.9,17.17,16.61,16.56
Cambodia,Asia,15.72,15.23,15.94,16.61,15.2,15.58,16.86,14.88,15.02,16.09
Cameroon,Africa,36.65,37.07,37.54,36.93,37.33,39.2,39.44,39.59,39.37,39.06
Canada,America,7.55,7.67,7.51,7.19,7.06,6.97,6.12,6.69,6.9,6.21
Central African Republic,Africa,6.13,6.1,6.12,6.12,6.12,6.12,6.13,6.15,6.13,6.12
Chad,Africa,22.57,22.9,23.25,22.16,22.36,23.97,24.05,23.95,23.16,22.52
Chile,America,20.3,20.32,19.75,22.21,21.49,22.61,22.42,19.39,18.77,19.31
China,Asia,44.59,45.85,46.71,61.43,52.78,49.64,45.75,44.96,38.86,36.69
Colombia,America,14.58,15.14,14.87,15.36,15.1,14.85,14.2,13.67,12.14,11.7
Comoros,Africa,7.09,7.16,7.28,7.25,7.32,7.45,7.29,7.35,7.41,7.4
Congo,Africa,6.68,6.67,6.63,6.58,6.47,6.45,6.52,6.39,6.42,6.42
Cook Islands,Oceania,2.82,3.09,3.27,3.31,3.21,3.15,3.17,3.08,2.78,3.25
Costa Rica,America,15.71,16.52,16.02,16.83,15.6,15.72,15.35,14.67,13.77,12.73
Côte d'Ivoire,Africa,22.4,22.65,22.78,22.43,22.51,23.31,23.12,23.03,23.01,22.75
Croatia,Europe,19.42,20.49,18.44,17.51,17.64,17.31,16.34,16.91,17.51,14.16
Cuba,America,8.92,9.08,9.58,9.73,9.88,10.47,10.58,10.72,10.1,9.73
Cyprus,Asia,16.42,15.57,14.41,14.3,13.21,13.39,12.09,12.94,13.7,12.86
Czechia,Europe,19.56,20.2,18.26,17.56,17.76,16.98,16.15,16.61,17.11,13.96
Democratic People's Republic of Korea,Asia,37.98,40.71,43.08,50.83,45.31,42.69,38.56,38.01,33.04,31.42
Democratic Republic of the Congo,Africa,7.09,7.07,7.11,7.13,7.09,7.14,7.18,7.1,7.12,7.13
Denmark,Europe,11.21,11.82,10.47,9.97,9.48,9.78,8.91,9.07,9.11,8.77
Djibouti,Africa,7.72,7.69,7.66,7.69,7.75,7.7,7.68,7.63,7.67,7.7
Dominica,America,5.11,5.15,5.66,5.52,5.8,6.09,6.04,6.41,6.06,5.78
Dominican Republic,America,4.63,4.38,4.91,4.69,4.79,4.92,5.05,5.16,5.14,4.67
Ecuador,America,14.92,14.51,15.14,15.19,15.65,15.18,14.78,13.36,14.2,13.18
Egypt,Africa,39.25,38.46,39.13,39.81,39.89,39.67,39.85,39.89,39.96,40.38
El Salvador,America,17.7,18.74,17.95,19.2,18.49,18.2,16.98,17.71,15.28,14.49
Equatorial Guinea,Africa,6.08,6.06,6.06,6.07,6.07,6.01,6.03,6.03,6.03,6.05
Eritrea,Africa,9.04,9.04,9.07,9.09,9.09,9.09,9.1,9.13,9.14,9.19
Estonia,Europe,7.72,6.99,6.7,6.94,7.2,6.1,5.54,5.21,6.14,5.83
Eswatini,Africa,10.51,10.29,10.32,10.44,10.56,10.37,10.16,10.32,10.46,10.56
Ethiopia,Africa,13.03,13.07,13.01,13.03,13.01,13.07,13.09,13.12,13.13,13.02
Fiji,Oceania,3.79,4.12,4.08,4.21,4.28,4.31,4.17,4.21,3.99,3.69
Finland,Europe,6.66,6.61,5.94,5.84,5.43,5.49,5.07,5.06,5.25,5.16
France,Europe,14.17,14.44,13.03,12.68,11.61,11.99,11.02,11.08,11.05,10.27
Gabon,Africa,6.49,6.5,6.53,6.49,6.46,6.57,6.62,6.56,6.59,6.59
Gambia,Africa,19.98,20.1,20.32,20.24,20.43,20.71,20.74,20.98,21.05,21.1
Georgia,Asia,17.24,19.48,18.77,18.11,18.22,18.15,16.8,16.34,16.28,14.48
Germany,Europe,14.81,15.14,13.52,13.05,12.25,12.44,11.47,11.58,11.51,10.56
Ghana,Africa,29.96,30.37,30.54,30.34,30.39,31.85,31.77,31.47,31.48,31.19
Greece,Europe,18.19,18.05,16.44,15.96,14.47,15.2,14.01,14.03,14.48,13.51
Grenada,America,6.33,6.25,7.16,7.02,7.16,7.69,7.76,8.0,8.05,7.07
Guatemala,America,20.22,21.7,20.26,21.52,19.96,19.99,20.06,19.2,17.25,16.18
Guinea,Africa,21.58,21.62,22.34,21.2,21.92,22.65,22.66,22.43,22.17,21.99
Guinea-Bissau,Africa,17.55,17.65,17.69,17.46,17.82,17.85,17.95,17.96,18.04,18.06
Guyana,America,5.33,5.37,5.74,5.35,5.75,6.51,6.77,6.65,5.9,5.71
Haiti,America,5.33,5.18,5.55,5.31,5.52,5.83,5.78,5.8,5.76,5.41
Honduras,America,16.28,17.48,15.97,17.53,16.55,16.2,15.97,14.71,14.3,13.48
Hungary,Europe,18.46,19.03,17.12,16.63,16.87,16.21,15.32,15.71,16.36,13.4
Iceland,Europe,6.09,6.58,5.86,5.63,5.33,5.67,5.03,5.08,5.2,5.11
India,Asia,49.73,52.34,53.57,55.61,53.24,52.72,50.57,48.78,53.03,47.87
Indonesia,Asia,16.5,15.79,17.12,17.74,16.06,16.09,17.4,15.35,15.58,16.76
Iran (Islamic Republic of),Asia,26.16,25.96,25.97,25.9,25.43,26.17,25.85,26.52,27.93,27.47
Iraq,Asia,31.91,31.34,31.32,31.27,29.84,31.71,31.29,31.55,32.45,31.91
